type,from,to,properties_json
CONTRIBUTES_TO,AI501-M3-MLO1,AI501-CLO3,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI501-M3,AI501-M3-MLO2,{}
CONTRIBUTES_TO,AI501-M3-MLO2,AI501-CLO4,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI501-M3,AI501-M3-MLO3,{}
CONTRIBUTES_TO,AI501-M3-MLO3,AI501-CLO1,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI501-M3,AI501-M3-L1,"{""sequence"": 1}"
ADDRESSES,AI501-M3-L1,AI501-M3-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI501-M3,AI501-M3-L2,"{""sequence"": 2}"
ADDRESSES,AI501-M3-L2,AI501-M3-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI501-A3,AI501-A3-RUBRIC,{}
HAS_CRITERION,AI501-A3-RUBRIC,AI501-A3-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI501-A3-RUBRIC-C1,AI501-A3-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI501-A3-RUBRIC-C1,AI501-A3-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI501-A3-RUBRIC-C1,AI501-A3-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI501-A3-RUBRIC,AI501-A3-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI501-A3-RUBRIC-C2,AI501-A3-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI501-A3-RUBRIC-C2,AI501-A3-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI501-A3-RUBRIC-C2,AI501-A3-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI501-A3-RUBRIC,AI501-A3-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI501-A3-RUBRIC-C3,AI501-A3-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI501-A3-RUBRIC-C3,AI501-A3-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI501-A3-RUBRIC-C3,AI501-A3-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI501-M3-MLO1,AI501-A3,"{""weight"": 0.33}"
ASSESSED_BY,AI501-M3-MLO2,AI501-A3,"{""weight"": 0.33}"
ASSESSED_BY,AI501-M3-MLO3,AI501-A3,"{""weight"": 0.33}"
HAS_COURSE,MSCAI,AI502,"{""sequence"": 2}"
DEFINES_CLO,AI502,AI502-CLO1,{}
DEVELOPS,AI502-CLO1,SK-MACHINE-LEARNING,"{""weight"": 0.33}"
DEVELOPS,AI502-CLO1,SK-FEATURE-ENGINEERING,"{""weight"": 0.33}"
DEVELOPS,AI502-CLO1,SK-MODEL-EVALUATION,"{""weight"": 0.33}"
DEFINES_CLO,AI502,AI502-CLO2,{}
DEVELOPS,AI502-CLO2,SK-MACHINE-LEARNING,"{""weight"": 0.33}"
DEVELOPS,AI502-CLO2,SK-FEATURE-ENGINEERING,"{""weight"": 0.33}"
DEFINES_CLO,AI502,AI502-CLO3,{}
DEVELOPS,AI502-CLO3,SK-MACHINE-LEARNING,"{""weight"": 0.33}"
DEVELOPS,AI502-CLO3,SK-FEATURE-ENGINEERING,"{""weight"": 0.33}"
DEVELOPS,AI502-CLO3,SK-MODEL-EVALUATION,"{""weight"": 0.33}"
DEFINES_CLO,AI502,AI502-CLO4,{}
DEVELOPS,AI502-CLO4,SK-MACHINE-LEARNING,"{""weight"": 0.33}"
DEVELOPS,AI502-CLO4,SK-FEATURE-ENGINEERING,"{""weight"": 0.33}"
HAS_MODULE,AI502,AI502-M1,"{""sequence"": 1}"
DEFINES_MLO,AI502-M1,AI502-M1-MLO1,{}
CONTRIBUTES_TO,AI502-M1-MLO1,AI502-CLO1,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI502-M1,AI502-M1-MLO2,{}
CONTRIBUTES_TO,AI502-M1-MLO2,AI502-CLO2,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI502-M1,AI502-M1-MLO3,{}
CONTRIBUTES_TO,AI502-M1-MLO3,AI502-CLO3,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI502-M1,AI502-M1-L1,"{""sequence"": 1}"
ADDRESSES,AI502-M1-L1,AI502-M1-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI502-M1,AI502-M1-L2,"{""sequence"": 2}"
ADDRESSES,AI502-M1-L2,AI502-M1-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI502-A1,AI502-A1-RUBRIC,{}
HAS_CRITERION,AI502-A1-RUBRIC,AI502-A1-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI502-A1-RUBRIC-C1,AI502-A1-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI502-A1-RUBRIC-C1,AI502-A1-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI502-A1-RUBRIC-C1,AI502-A1-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI502-A1-RUBRIC,AI502-A1-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI502-A1-RUBRIC-C2,AI502-A1-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI502-A1-RUBRIC-C2,AI502-A1-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI502-A1-RUBRIC-C2,AI502-A1-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI502-A1-RUBRIC,AI502-A1-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI502-A1-RUBRIC-C3,AI502-A1-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI502-A1-RUBRIC-C3,AI502-A1-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI502-A1-RUBRIC-C3,AI502-A1-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI502-M1-MLO1,AI502-A1,"{""weight"": 0.33}"
ASSESSED_BY,AI502-M1-MLO2,AI502-A1,"{""weight"": 0.33}"
ASSESSED_BY,AI502-M1-MLO3,AI502-A1,"{""weight"": 0.33}"
HAS_MODULE,AI502,AI502-M2,"{""sequence"": 2}"
DEFINES_MLO,AI502-M2,AI502-M2-MLO1,{}
CONTRIBUTES_TO,AI502-M2-MLO1,AI502-CLO2,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI502-M2,AI502-M2-MLO2,{}
CONTRIBUTES_TO,AI502-M2-MLO2,AI502-CLO3,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI502-M2,AI502-M2-MLO3,{}
CONTRIBUTES_TO,AI502-M2-MLO3,AI502-CLO4,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI502-M2,AI502-M2-L1,"{""sequence"": 1}"
ADDRESSES,AI502-M2-L1,AI502-M2-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI502-M2,AI502-M2-L2,"{""sequence"": 2}"
ADDRESSES,AI502-M2-L2,AI502-M2-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI502-A2,AI502-A2-RUBRIC,{}
HAS_CRITERION,AI502-A2-RUBRIC,AI502-A2-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI502-A2-RUBRIC-C1,AI502-A2-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI502-A2-RUBRIC-C1,AI502-A2-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI502-A2-RUBRIC-C1,AI502-A2-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI502-A2-RUBRIC,AI502-A2-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI502-A2-RUBRIC-C2,AI502-A2-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI502-A2-RUBRIC-C2,AI502-A2-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI502-A2-RUBRIC-C2,AI502-A2-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI502-A2-RUBRIC,AI502-A2-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI502-A2-RUBRIC-C3,AI502-A2-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI502-A2-RUBRIC-C3,AI502-A2-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI502-A2-RUBRIC-C3,AI502-A2-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI502-M2-MLO1,AI502-A2,"{""weight"": 0.33}"
ASSESSED_BY,AI502-M2-MLO2,AI502-A2,"{""weight"": 0.33}"
ASSESSED_BY,AI502-M2-MLO3,AI502-A2,"{""weight"": 0.33}"
HAS_MODULE,AI502,AI502-M3,"{""sequence"": 3}"
DEFINES_MLO,AI502-M3,AI502-M3-MLO1,{}
CONTRIBUTES_TO,AI502-M3-MLO1,AI502-CLO3,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI502-M3,AI502-M3-MLO2,{}
CONTRIBUTES_TO,AI502-M3-MLO2,AI502-CLO4,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI502-M3,AI502-M3-MLO3,{}
CONTRIBUTES_TO,AI502-M3-MLO3,AI502-CLO1,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI502-M3,AI502-M3-L1,"{""sequence"": 1}"
ADDRESSES,AI502-M3-L1,AI502-M3-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI502-M3,AI502-M3-L2,"{""sequence"": 2}"
ADDRESSES,AI502-M3-L2,AI502-M3-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI502-A3,AI502-A3-RUBRIC,{}
HAS_CRITERION,AI502-A3-RUBRIC,AI502-A3-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI502-A3-RUBRIC-C1,AI502-A3-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI502-A3-RUBRIC-C1,AI502-A3-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI502-A3-RUBRIC-C1,AI502-A3-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI502-A3-RUBRIC,AI502-A3-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI502-A3-RUBRIC-C2,AI502-A3-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI502-A3-RUBRIC-C2,AI502-A3-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI502-A3-RUBRIC-C2,AI502-A3-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI502-A3-RUBRIC,AI502-A3-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI502-A3-RUBRIC-C3,AI502-A3-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI502-A3-RUBRIC-C3,AI502-A3-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI502-A3-RUBRIC-C3,AI502-A3-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI502-M3-MLO1,AI502-A3,"{""weight"": 0.33}"
ASSESSED_BY,AI502-M3-MLO2,AI502-A3,"{""weight"": 0.33}"
ASSESSED_BY,AI502-M3-MLO3,AI502-A3,"{""weight"": 0.33}"
HAS_COURSE,MSCAI,AI503,"{""sequence"": 3}"
DEFINES_CLO,AI503,AI503-CLO1,{}
DEVELOPS,AI503-CLO1,SK-DEEP-LEARNING,"{""weight"": 0.33}"
DEVELOPS,AI503-CLO1,SK-NEURAL-NETWORK-ENGINEERING,"{""weight"": 0.33}"
DEVELOPS,AI503-CLO1,SK-TRANSFORMER-ARCHITECTURES,"{""weight"": 0.33}"
DEFINES_CLO,AI503,AI503-CLO2,{}
DEVELOPS,AI503-CLO2,SK-DEEP-LEARNING,"{""weight"": 0.33}"
DEVELOPS,AI503-CLO2,SK-NEURAL-NETWORK-ENGINEERING,"{""weight"": 0.33}"
DEFINES_CLO,AI503,AI503-CLO3,{}
DEVELOPS,AI503-CLO3,SK-DEEP-LEARNING,"{""weight"": 0.33}"
DEVELOPS,AI503-CLO3,SK-NEURAL-NETWORK-ENGINEERING,"{""weight"": 0.33}"
DEVELOPS,AI503-CLO3,SK-TRANSFORMER-ARCHITECTURES,"{""weight"": 0.33}"
DEFINES_CLO,AI503,AI503-CLO4,{}
DEVELOPS,AI503-CLO4,SK-DEEP-LEARNING,"{""weight"": 0.33}"
DEVELOPS,AI503-CLO4,SK-NEURAL-NETWORK-ENGINEERING,"{""weight"": 0.33}"
HAS_MODULE,AI503,AI503-M1,"{""sequence"": 1}"
DEFINES_MLO,AI503-M1,AI503-M1-MLO1,{}
CONTRIBUTES_TO,AI503-M1-MLO1,AI503-CLO1,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI503-M1,AI503-M1-MLO2,{}
CONTRIBUTES_TO,AI503-M1-MLO2,AI503-CLO2,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI503-M1,AI503-M1-MLO3,{}
CONTRIBUTES_TO,AI503-M1-MLO3,AI503-CLO3,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI503-M1,AI503-M1-L1,"{""sequence"": 1}"
ADDRESSES,AI503-M1-L1,AI503-M1-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI503-M1,AI503-M1-L2,"{""sequence"": 2}"
ADDRESSES,AI503-M1-L2,AI503-M1-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI503-A1,AI503-A1-RUBRIC,{}
HAS_CRITERION,AI503-A1-RUBRIC,AI503-A1-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI503-A1-RUBRIC-C1,AI503-A1-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI503-A1-RUBRIC-C1,AI503-A1-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI503-A1-RUBRIC-C1,AI503-A1-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI503-A1-RUBRIC,AI503-A1-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI503-A1-RUBRIC-C2,AI503-A1-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI503-A1-RUBRIC-C2,AI503-A1-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI503-A1-RUBRIC-C2,AI503-A1-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI503-A1-RUBRIC,AI503-A1-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI503-A1-RUBRIC-C3,AI503-A1-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI503-A1-RUBRIC-C3,AI503-A1-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI503-A1-RUBRIC-C3,AI503-A1-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI503-M1-MLO1,AI503-A1,"{""weight"": 0.33}"
ASSESSED_BY,AI503-M1-MLO2,AI503-A1,"{""weight"": 0.33}"
ASSESSED_BY,AI503-M1-MLO3,AI503-A1,"{""weight"": 0.33}"
HAS_MODULE,AI503,AI503-M2,"{""sequence"": 2}"
DEFINES_MLO,AI503-M2,AI503-M2-MLO1,{}
CONTRIBUTES_TO,AI503-M2-MLO1,AI503-CLO2,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI503-M2,AI503-M2-MLO2,{}
CONTRIBUTES_TO,AI503-M2-MLO2,AI503-CLO3,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI503-M2,AI503-M2-MLO3,{}
CONTRIBUTES_TO,AI503-M2-MLO3,AI503-CLO4,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI503-M2,AI503-M2-L1,"{""sequence"": 1}"
ADDRESSES,AI503-M2-L1,AI503-M2-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI503-M2,AI503-M2-L2,"{""sequence"": 2}"
ADDRESSES,AI503-M2-L2,AI503-M2-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI503-A2,AI503-A2-RUBRIC,{}
HAS_CRITERION,AI503-A2-RUBRIC,AI503-A2-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI503-A2-RUBRIC-C1,AI503-A2-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI503-A2-RUBRIC-C1,AI503-A2-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI503-A2-RUBRIC-C1,AI503-A2-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI503-A2-RUBRIC,AI503-A2-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI503-A2-RUBRIC-C2,AI503-A2-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI503-A2-RUBRIC-C2,AI503-A2-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI503-A2-RUBRIC-C2,AI503-A2-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI503-A2-RUBRIC,AI503-A2-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI503-A2-RUBRIC-C3,AI503-A2-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI503-A2-RUBRIC-C3,AI503-A2-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI503-A2-RUBRIC-C3,AI503-A2-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI503-M2-MLO1,AI503-A2,"{""weight"": 0.33}"
ASSESSED_BY,AI503-M2-MLO2,AI503-A2,"{""weight"": 0.33}"
ASSESSED_BY,AI503-M2-MLO3,AI503-A2,"{""weight"": 0.33}"
HAS_MODULE,AI503,AI503-M3,"{""sequence"": 3}"
DEFINES_MLO,AI503-M3,AI503-M3-MLO1,{}
CONTRIBUTES_TO,AI503-M3-MLO1,AI503-CLO3,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI503-M3,AI503-M3-MLO2,{}
CONTRIBUTES_TO,AI503-M3-MLO2,AI503-CLO4,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI503-M3,AI503-M3-MLO3,{}
CONTRIBUTES_TO,AI503-M3-MLO3,AI503-CLO1,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI503-M3,AI503-M3-L1,"{""sequence"": 1}"
ADDRESSES,AI503-M3-L1,AI503-M3-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI503-M3,AI503-M3-L2,"{""sequence"": 2}"
ADDRESSES,AI503-M3-L2,AI503-M3-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI503-A3,AI503-A3-RUBRIC,{}
HAS_CRITERION,AI503-A3-RUBRIC,AI503-A3-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI503-A3-RUBRIC-C1,AI503-A3-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI503-A3-RUBRIC-C1,AI503-A3-RUBRIC-C1-PROFICIENT,{}
