id,labels,uri,properties_json
SK-EXPERIMENT-DESIGN,Skill,https://dlu.example.org/ekg/skill/sk-experiment-design,"{""prefLabel"": ""Experiment Design"", ""description"": ""Canonical DLU skill: Experiment Design"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-FEATURE-ENGINEERING,Skill,https://dlu.example.org/ekg/skill/sk-feature-engineering,"{""prefLabel"": ""Feature Engineering"", ""description"": ""Canonical DLU skill: Feature Engineering"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-IMAGE-ANALYSIS,Skill,https://dlu.example.org/ekg/skill/sk-image-analysis,"{""prefLabel"": ""Image Analysis"", ""description"": ""Canonical DLU skill: Image Analysis"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-LLM-ENGINEERING,Skill,https://dlu.example.org/ekg/skill/sk-llm-engineering,"{""prefLabel"": ""LLM Engineering"", ""description"": ""Canonical DLU skill: LLM Engineering"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-LLM-EVALUATION,Skill,https://dlu.example.org/ekg/skill/sk-llm-evaluation,"{""prefLabel"": ""LLM Evaluation"", ""description"": ""Canonical DLU skill: LLM Evaluation"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-LLMOPS,Skill,https://dlu.example.org/ekg/skill/sk-llmops,"{""prefLabel"": ""LLMOps"", ""description"": ""Canonical DLU skill: LLMOps"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-LINEAR-ALGEBRA,Skill,https://dlu.example.org/ekg/skill/sk-linear-algebra,"{""prefLabel"": ""Linear Algebra"", ""description"": ""Canonical DLU skill: Linear Algebra"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-MLOPS,Skill,https://dlu.example.org/ekg/skill/sk-mlops,"{""prefLabel"": ""MLOps"", ""description"": ""Canonical DLU skill: MLOps"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-MACHINE-LEARNING,Skill,https://dlu.example.org/ekg/skill/sk-machine-learning,"{""prefLabel"": ""Machine Learning"", ""description"": ""Canonical DLU skill: Machine Learning"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-MODEL-DEPLOYMENT,Skill,https://dlu.example.org/ekg/skill/sk-model-deployment,"{""prefLabel"": ""Model Deployment"", ""description"": ""Canonical DLU skill: Model Deployment"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-MODEL-EVALUATION,Skill,https://dlu.example.org/ekg/skill/sk-model-evaluation,"{""prefLabel"": ""Model Evaluation"", ""description"": ""Canonical DLU skill: Model Evaluation"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-NLP-ENGINEERING,Skill,https://dlu.example.org/ekg/skill/sk-nlp-engineering,"{""prefLabel"": ""NLP Engineering"", ""description"": ""Canonical DLU skill: NLP Engineering"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-NATURAL-LANGUAGE-PROCESSING,Skill,https://dlu.example.org/ekg/skill/sk-natural-language-processing,"{""prefLabel"": ""Natural Language Processing"", ""description"": ""Canonical DLU skill: Natural Language Processing"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-NEURAL-NETWORK-ENGINEERING,Skill,https://dlu.example.org/ekg/skill/sk-neural-network-engineering,"{""prefLabel"": ""Neural Network Engineering"", ""description"": ""Canonical DLU skill: Neural Network Engineering"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-OPTIMIZATION,Skill,https://dlu.example.org/ekg/skill/sk-optimization,"{""prefLabel"": ""Optimization"", ""description"": ""Canonical DLU skill: Optimization"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-PROBABILITY-STATISTICS,Skill,https://dlu.example.org/ekg/skill/sk-probability-statistics,"{""prefLabel"": ""Probability & Statistics"", ""description"": ""Canonical DLU skill: Probability & Statistics"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-RESEARCH-EXECUTION,Skill,https://dlu.example.org/ekg/skill/sk-research-execution,"{""prefLabel"": ""Research Execution"", ""description"": ""Canonical DLU skill: Research Execution"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-RESPONSIBLE-AI,Skill,https://dlu.example.org/ekg/skill/sk-responsible-ai,"{""prefLabel"": ""Responsible AI"", ""description"": ""Canonical DLU skill: Responsible AI"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-RETRIEVAL-AUGMENTED-GENERATION,Skill,https://dlu.example.org/ekg/skill/sk-retrieval-augmented-generation,"{""prefLabel"": ""Retrieval-Augmented Generation"", ""description"": ""Canonical DLU skill: Retrieval-Augmented Generation"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-SCIENTIFIC-COMMUNICATION,Skill,https://dlu.example.org/ekg/skill/sk-scientific-communication,"{""prefLabel"": ""Scientific Communication"", ""description"": ""Canonical DLU skill: Scientific Communication"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-TECHNICAL-COMMUNICATION,Skill,https://dlu.example.org/ekg/skill/sk-technical-communication,"{""prefLabel"": ""Technical Communication"", ""description"": ""Canonical DLU skill: Technical Communication"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-TEXT-ANALYTICS,Skill,https://dlu.example.org/ekg/skill/sk-text-analytics,"{""prefLabel"": ""Text Analytics"", ""description"": ""Canonical DLU skill: Text Analytics"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-TRANSFORMER-ARCHITECTURES,Skill,https://dlu.example.org/ekg/skill/sk-transformer-architectures,"{""prefLabel"": ""Transformer Architectures"", ""description"": ""Canonical DLU skill: Transformer Architectures"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-VISION-MODEL-ENGINEERING,Skill,https://dlu.example.org/ekg/skill/sk-vision-model-engineering,"{""prefLabel"": ""Vision Model Engineering"", ""description"": ""Canonical DLU skill: Vision Model Engineering"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
CON-VECTORS,Concept,https://dlu.example.org/ekg/concept/con-vectors,"{""prefLabel"": ""Vectors"", ""definition"": ""Demo concept: Vectors"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-MATRICES,Concept,https://dlu.example.org/ekg/concept/con-matrices,"{""prefLabel"": ""Matrices"", ""definition"": ""Demo concept: Matrices"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-EIGENVALUES,Concept,https://dlu.example.org/ekg/concept/con-eigenvalues,"{""prefLabel"": ""Eigenvalues"", ""definition"": ""Demo concept: Eigenvalues"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-PROBABILITY-DISTRIBUTIONS,Concept,https://dlu.example.org/ekg/concept/con-probability-distributions,"{""prefLabel"": ""Probability Distributions"", ""definition"": ""Demo concept: Probability Distributions"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-BAYES-THEOREM,Concept,https://dlu.example.org/ekg/concept/con-bayes-theorem,"{""prefLabel"": ""Bayes Theorem"", ""definition"": ""Demo concept: Bayes Theorem"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-HYPOTHESIS-TESTING,Concept,https://dlu.example.org/ekg/concept/con-hypothesis-testing,"{""prefLabel"": ""Hypothesis Testing"", ""definition"": ""Demo concept: Hypothesis Testing"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-GRADIENT-DESCENT,Concept,https://dlu.example.org/ekg/concept/con-gradient-descent,"{""prefLabel"": ""Gradient Descent"", ""definition"": ""Demo concept: Gradient Descent"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-CONVEX-OPTIMIZATION,Concept,https://dlu.example.org/ekg/concept/con-convex-optimization,"{""prefLabel"": ""Convex Optimization"", ""definition"": ""Demo concept: Convex Optimization"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-REGRESSION,Concept,https://dlu.example.org/ekg/concept/con-regression,"{""prefLabel"": ""Regression"", ""definition"": ""Demo concept: Regression"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-CLASSIFICATION,Concept,https://dlu.example.org/ekg/concept/con-classification,"{""prefLabel"": ""Classification"", ""definition"": ""Demo concept: Classification"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-DECISION-TREES,Concept,https://dlu.example.org/ekg/concept/con-decision-trees,"{""prefLabel"": ""Decision Trees"", ""definition"": ""Demo concept: Decision Trees"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-ENSEMBLE-LEARNING,Concept,https://dlu.example.org/ekg/concept/con-ensemble-learning,"{""prefLabel"": ""Ensemble Learning"", ""definition"": ""Demo concept: Ensemble Learning"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-CLUSTERING,Concept,https://dlu.example.org/ekg/concept/con-clustering,"{""prefLabel"": ""Clustering"", ""definition"": ""Demo concept: Clustering"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-DIMENSIONALITY-REDUCTION,Concept,https://dlu.example.org/ekg/concept/con-dimensionality-reduction,"{""prefLabel"": ""Dimensionality Reduction"", ""definition"": ""Demo concept: Dimensionality Reduction"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-CROSS-VALIDATION,Concept,https://dlu.example.org/ekg/concept/con-cross-validation,"{""prefLabel"": ""Cross Validation"", ""definition"": ""Demo concept: Cross Validation"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-BIAS-VARIANCE-TRADEOFF,Concept,https://dlu.example.org/ekg/concept/con-bias-variance-tradeoff,"{""prefLabel"": ""Bias Variance Tradeoff"", ""definition"": ""Demo concept: Bias Variance Tradeoff"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-PERCEPTRON,Concept,https://dlu.example.org/ekg/concept/con-perceptron,"{""prefLabel"": ""Perceptron"", ""definition"": ""Demo concept: Perceptron"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-BACKPROPAGATION,Concept,https://dlu.example.org/ekg/concept/con-backpropagation,"{""prefLabel"": ""Backpropagation"", ""definition"": ""Demo concept: Backpropagation"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-CONVOLUTION,Concept,https://dlu.example.org/ekg/concept/con-convolution,"{""prefLabel"": ""Convolution"", ""definition"": ""Demo concept: Convolution"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-REPRESENTATION-LEARNING,Concept,https://dlu.example.org/ekg/concept/con-representation-learning,"{""prefLabel"": ""Representation Learning"", ""definition"": ""Demo concept: Representation Learning"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-RECURRENT-NEURAL-NETWORKS,Concept,https://dlu.example.org/ekg/concept/con-recurrent-neural-networks,"{""prefLabel"": ""Recurrent Neural Networks"", ""definition"": ""Demo concept: Recurrent Neural Networks"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-ATTENTION,Concept,https://dlu.example.org/ekg/concept/con-attention,"{""prefLabel"": ""Attention"", ""definition"": ""Demo concept: Attention"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-TRANSFORMER,Concept,https://dlu.example.org/ekg/concept/con-transformer,"{""prefLabel"": ""Transformer"", ""definition"": ""Demo concept: Transformer"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-POSITIONAL-ENCODING,Concept,https://dlu.example.org/ekg/concept/con-positional-encoding,"{""prefLabel"": ""Positional Encoding"", ""definition"": ""Demo concept: Positional Encoding"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-TOKENIZATION,Concept,https://dlu.example.org/ekg/concept/con-tokenization,"{""prefLabel"": ""Tokenization"", ""definition"": ""Demo concept: Tokenization"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-LANGUAGE-MODELING,Concept,https://dlu.example.org/ekg/concept/con-language-modeling,"{""prefLabel"": ""Language Modeling"", ""definition"": ""Demo concept: Language Modeling"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-EMBEDDING,Concept,https://dlu.example.org/ekg/concept/con-embedding,"{""prefLabel"": ""Embedding"", ""definition"": ""Demo concept: Embedding"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-VECTOR-SEARCH,Concept,https://dlu.example.org/ekg/concept/con-vector-search,"{""prefLabel"": ""Vector Search"", ""definition"": ""Demo concept: Vector Search"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-COSINE-SIMILARITY,Concept,https://dlu.example.org/ekg/concept/con-cosine-similarity,"{""prefLabel"": ""Cosine Similarity"", ""definition"": ""Demo concept: Cosine Similarity"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-CHUNKING,Concept,https://dlu.example.org/ekg/concept/con-chunking,"{""prefLabel"": ""Chunking"", ""definition"": ""Demo concept: Chunking"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-RETRIEVAL-AUGMENTED-GENERATION,Concept,https://dlu.example.org/ekg/concept/con-retrieval-augmented-generation,"{""prefLabel"": ""Retrieval-Augmented Generation"", ""definition"": ""Demo concept: Retrieval-Augmented Generation"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-PROMPT-ENGINEERING,Concept,https://dlu.example.org/ekg/concept/con-prompt-engineering,"{""prefLabel"": ""Prompt Engineering"", ""definition"": ""Demo concept: Prompt Engineering"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-TOOL-CALLING,Concept,https://dlu.example.org/ekg/concept/con-tool-calling,"{""prefLabel"": ""Tool Calling"", ""definition"": ""Demo concept: Tool Calling"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-AI-AGENTS,Concept,https://dlu.example.org/ekg/concept/con-ai-agents,"{""prefLabel"": ""AI Agents"", ""definition"": ""Demo concept: AI Agents"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-LLM-EVALUATION,Concept,https://dlu.example.org/ekg/concept/con-llm-evaluation,"{""prefLabel"": ""LLM Evaluation"", ""definition"": ""Demo concept: LLM Evaluation"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-IMAGE-FEATURES,Concept,https://dlu.example.org/ekg/concept/con-image-features,"{""prefLabel"": ""Image Features"", ""definition"": ""Demo concept: Image Features"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-OBJECT-DETECTION,Concept,https://dlu.example.org/ekg/concept/con-object-detection,"{""prefLabel"": ""Object Detection"", ""definition"": ""Demo concept: Object Detection"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-SEGMENTATION,Concept,https://dlu.example.org/ekg/concept/con-segmentation,"{""prefLabel"": ""Segmentation"", ""definition"": ""Demo concept: Segmentation"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-VISION-TRANSFORMER,Concept,https://dlu.example.org/ekg/concept/con-vision-transformer,"{""prefLabel"": ""Vision Transformer"", ""definition"": ""Demo concept: Vision Transformer"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-TEXT-REPRESENTATION,Concept,https://dlu.example.org/ekg/concept/con-text-representation,"{""prefLabel"": ""Text Representation"", ""definition"": ""Demo concept: Text Representation"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-NAMED-ENTITY-RECOGNITION,Concept,https://dlu.example.org/ekg/concept/con-named-entity-recognition,"{""prefLabel"": ""Named Entity Recognition"", ""definition"": ""Demo concept: Named Entity Recognition"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-SEMANTIC-SIMILARITY,Concept,https://dlu.example.org/ekg/concept/con-semantic-similarity,"{""prefLabel"": ""Semantic Similarity"", ""definition"": ""Demo concept: Semantic Similarity"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-FAIRNESS,Concept,https://dlu.example.org/ekg/concept/con-fairness,"{""prefLabel"": ""Fairness"", ""definition"": ""Demo concept: Fairness"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-EXPLAINABILITY,Concept,https://dlu.example.org/ekg/concept/con-explainability,"{""prefLabel"": ""Explainability"", ""definition"": ""Demo concept: Explainability"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-PRIVACY,Concept,https://dlu.example.org/ekg/concept/con-privacy,"{""prefLabel"": ""Privacy"", ""definition"": ""Demo concept: Privacy"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-AI-RISK,Concept,https://dlu.example.org/ekg/concept/con-ai-risk,"{""prefLabel"": ""AI Risk"", ""definition"": ""Demo concept: AI Risk"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-MODEL-CARDS,Concept,https://dlu.example.org/ekg/concept/con-model-cards,"{""prefLabel"": ""Model Cards"", ""definition"": ""Demo concept: Model Cards"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-PROMPT-INJECTION,Concept,https://dlu.example.org/ekg/concept/con-prompt-injection,"{""prefLabel"": ""Prompt Injection"", ""definition"": ""Demo concept: Prompt Injection"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-DATA-POISONING,Concept,https://dlu.example.org/ekg/concept/con-data-poisoning,"{""prefLabel"": ""Data Poisoning"", ""definition"": ""Demo concept: Data Poisoning"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-MODEL-MONITORING,Concept,https://dlu.example.org/ekg/concept/con-model-monitoring,"{""prefLabel"": ""Model Monitoring"", ""definition"": ""Demo concept: Model Monitoring"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-MODEL-REGISTRY,Concept,https://dlu.example.org/ekg/concept/con-model-registry,"{""prefLabel"": ""Model Registry"", ""definition"": ""Demo concept: Model Registry"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-FEATURE-STORE,Concept,https://dlu.example.org/ekg/concept/con-feature-store,"{""prefLabel"": ""Feature Store"", ""definition"": ""Demo concept: Feature Store"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-CI-CD-FOR-ML,Concept,https://dlu.example.org/ekg/concept/con-ci-cd-for-ml,"{""prefLabel"": ""CI/CD for ML"", ""definition"": ""Demo concept: CI/CD for ML"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-DRIFT-DETECTION,Concept,https://dlu.example.org/ekg/concept/con-drift-detection,"{""prefLabel"": ""Drift Detection"", ""definition"": ""Demo concept: Drift Detection"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-MLOPS,Concept,https://dlu.example.org/ekg/concept/con-mlops,"{""prefLabel"": ""MLOps"", ""definition"": ""Demo concept: MLOps"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-LLMOPS,Concept,https://dlu.example.org/ekg/concept/con-llmops,"{""prefLabel"": ""LLMOps"", ""definition"": ""Demo concept: LLMOps"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-RESEARCH-QUESTION,Concept,https://dlu.example.org/ekg/concept/con-research-question,"{""prefLabel"": ""Research Question"", ""definition"": ""Demo concept: Research Question"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-EXPERIMENTAL-DESIGN,Concept,https://dlu.example.org/ekg/concept/con-experimental-design,"{""prefLabel"": ""Experimental Design"", ""definition"": ""Demo concept: Experimental Design"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-REPRODUCIBILITY,Concept,https://dlu.example.org/ekg/concept/con-reproducibility,"{""prefLabel"": ""Reproducibility"", ""definition"": ""Demo concept: Reproducibility"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
CON-THESIS-DEFENSE,Concept,https://dlu.example.org/ekg/concept/con-thesis-defense,"{""prefLabel"": ""Thesis Defense"", ""definition"": ""Demo concept: Thesis Defense"", ""conceptType"": ""knowledge"", ""difficulty"": ""varies"", ""version"": ""1.0""}"
AI501,Course,https://dlu.example.org/ekg/course/ai501,"{""code"": ""AI501"", ""title"": ""Mathematical Foundations for AI"", ""ects"": 10, ""level"": ""graduate"", ""language"": ""en"", ""version"": ""1.0"", ""status"": ""demo""}"
AI501-CLO1,CLO,https://dlu.example.org/ekg/clo/ai501-clo1,"{""statement"": ""Apply and apply core capabilities of Mathematical Foundations for AI (CLO 1)."", ""outcomeType"": ""CLO"", ""bloomLevel"": ""Apply"", ""targetMastery"": 0.8, ""version"": ""1.0"", ""status"": ""demo""}"
AI501-CLO2,CLO,https://dlu.example.org/ekg/clo/ai501-clo2,"{""statement"": ""Analyze and apply core capabilities of Mathematical Foundations for AI (CLO 2)."", ""outcomeType"": ""CLO"", ""bloomLevel"": ""Analyze"", ""targetMastery"": 0.8, ""version"": ""1.0"", ""status"": ""demo""}"
